,Planet Name,ESM Estimate 0.8-1.1um
219,HAT-P-32b,3.9031166167959714
220,KPS-1b,0.19386569617973157
221,XO-1b,0.06680816384003284
222,WASP-190b,0.12717626279747976
223,WASP-92b,1.1535778397502374
224,HAT-P-19b,0.006750302998657674
225,HAT-P-67b,3.689306442043225
226,K2-107b,0.5010717736089477
227,HAT-P-1b,0.1726402528151427
228,WASP-16b,0.12356552212622705
229,K2-261b,0.0028175575909251986
230,GJ3470b,2.5683350306986897e-05
231,HAT-P-15b,0.0010710700759707266
232,K2-55b,0.0005672599497246958
233,WASP-166b,0.038350519354935
234,HIP65Ab,2.4642669451444625
235,WASP-101b,0.6907536716999154
236,WASP-5b,0.8507653493578625
237,XO-3b,0.9914268732131348
238,K2-121b,0.00028731283031208565
239,WASP-165b,0.27256523215663836
240,K2-25b,4.547075128770992e-09
241,LTT3780c,9.610537953924576e-14
242,HAT-P-9b,0.2714825167302013
243,HAT-P-28b,0.10777315190971277
244,HAT-P-49b,3.4982788390654145
245,K2-266d,1.0528634464651345e-08
246,WASP-98b,0.03484619707554381
247,WASP-85Ab,0.49564287574559796
248,WASP-157b,0.039576519180756865
249,HAT-P-6b,0.7628477351540048
